KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dlgTCHolyStatue,"{PlayerName}. Я вижу, что у вас есть святая статуя нашего народа. Ты хочешь отдать его мне?",,,,,,,,,,,,,,,,
dlgTCBadRepu,"Тебе нужна дружеская репутация или лучше с Талоном, тогда я поговорю с тобой.",,,,,,,,,,,,,,,,
dlgTCTellMeStory,Расскажи мне историю своего народа,,,,,,,,,,,,,,,,
dlgTCGreetings,Приветствую вас. Чего ты от меня хочешь?,,,,,,,,,,,,,,,,
txt_mWeCe,Добро пожаловать на раунд карт!,,,,,,,,,,,,,,,,
txt_UGmuO,Карточный дилер,,,,,,,,,,,,,,,,
txt_mq8OK,Мы будем играть за <color=#fddc1e>золотые монеты</color>. Сколько <color=#fddc1e>золотых монет</color> Хочешь поспорить?,,,,,,,,,,,,,,,,
txt_4WUCq,1 <color=#fddc1e>золотая монета</color>,,,,,,,,,,,,,,,,
txt_Zi4Gm,10 <color=#fddc1e>золотые монеты</color>,,,,,,,,,,,,,,,,
txt_BxmOu,100 <color=#fddc1e>золотые монеты</color>,,,,,,,,,,,,,,,,
txt_8cmWW,"Кажется, что вам не хватает золотых монет <color=#fddc1e>. Пока.",,,,,,,,,,,,,,,,
txt_S0uKE,"Вы ставите {GoldCoinsPlayerBet} <color=#fddc1e>золотые монеты</color>, и я также ставлю {GoldCoinsPlayerBet} <color=#fddc1e>золотые монеты</color>. n\n Ваша первая карта <color=#019245><b>{PlayerCards}</b></color>.",,,,,,,,,,,,,,,,
txt_aqCI0,Хочешь еще одну карточку?,,,,,,,,,,,,,,,,
txt_GiiaK,Да.,,,,,,,,,,,,,,,,
txt_8OGas,Нет.,,,,,,,,,,,,,,,,
txt_GaeK3,Ваша следующая карта <color=#019245><b>{NextCard}</b></color>. Теперь у вас есть <color=#fd9b00><b>{PlayerCards}</b></color> в целом!,,,,,,,,,,,,,,,,
txt_G0Fqm,<color=#cf0707> Вы проиграли!</color>,,,,,,,,,,,,,,,,
txt_O4W4q,Моя первая карта - <color=#019494>{DealerCards}</color>,,,,,,,,,,,,,,,,
txt_0CqKm,Моя следующая карта: <color=#019494>{DealerNewCard}</color>. Теперь у меня есть <color=#019494><b>{DealerCards}!</b></color>,,,,,,,,,,,,,,,,
txt_40jMG,<color=#019245><b> Вы выиграли! </b></color>Здесь возьмите свои <color=#fddc1e>{2*GoldCoinsPlayerBet} золотые монеты</color>!,,,,,,,,,,,,,,,,
txt_8mhiq,У вас есть <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000> Вы проиграли!</color>,,,,,,,,,,,,,,,,
txt_8Ujii,У вас есть <color=#019245>won {TotalGamesWon}</color> и <color=#cf0707>lost {TotalGamesLost}</color> <color=#cf0707></color>games в этой сессии до сих пор. Хочешь снова играть?,,,,,,,,,,,,,,,,
txt_vmOu4,Да.,,,,,,,,,,,,,,,,
txt_8Oiie,Нет.,,,,,,,,,,,,,,,,
txt_O8CaF,Возвращайся скорее! Пока.,,,,,,,,,,,,,,,,
txt_oiqaF,"Сначала я рисую карты для тебя, потом для себя. Тот, кто ближе всего подходит к номеру 21, выигрывает. Карта, которую я рисую, имеет номер от 1 до 11. После каждой карты у вас есть выбор остановиться. Если вы выиграете, моя роль будет превыше вашей ставки.",,,,,,,,,,,,,,,,
txt_emqJ4,"Хорошо, спасибо. Я получил его <i><color=#ffffff>(Back)</color></i>",,,,,,,,,,,,,,,,
txt_80qd8,"Подожди, как это работает?",,,,,,,,,,,,,,,,
txt_O4ame,"Ты потерял 20 раз на моем столе. Приходите позже и подумайте о том, чтобы найти настоящую работу.",,,,,,,,,,,,,,,,
txt_KaO0m,Это снова ты! Наше руководство приказало мне отказаться играть с тобой. Вернись позже.,,,,,,,,,,,,,,,,
txt_eeUSG,Можете сначала рассказать мне статистику?,,,,,,,,,,,,,,,,
txt_WKaie,На моем столе вы играли <color=#ffffff>{GamesPlayed}</color> times. You <color=#019245>won {TableGamesWon}</color> times.\n Вы <color=#cf0707> Lost{TableGamesLost}</color> times.\n\n Вы <color=#019245> выиграли {TableCoinsWon}</color> <color=#fddc1e>золотые монеты</color>. Вы <color=#cf0707>lost {TableCoinsLost}</color> <color=#fddc1e>gold coins</color>.,,,,,,,,,,,,,,,,
txt_aCMq8,"Хорошо, тогда... <i><color=#ffffff>(Back)</color></i>",,,,,,,,,,,,,,,,
dialogue_G8GSe,Консоль службы станции,,,,,,,,,,,,,,,,
dialogue_02Giu,U..cde..ksss.. поврежден. У вас нет..легитимного удостоверения!,,,,,,,,,,,,,,,,
dialogue_8WuSa,Эш Гейдельберг,,,,,,,,,,,,,,,,
dialogue_40mWq,Определите cn...us!,,,,,,,,,,,,,,,,
dialogue_484O8,Интегрированный помощник данных (IDA),,,,,,,,,,,,,,,,
dialogue_ea4m7,\n<color=#00ffff>Экстренная ситуация обнаружена! </color>\n\n@w4 Протокол UCH001A был инициализирован!,,,,,,,,,,,,,,,,
dialogue_KKSS0,продолжать,,,,,,,,,,,,,,,,
dialogue_Y0GSQ,прерывать,,,,,,,,,,,,,,,,
dialogue_uSuiW,Интегрированный помощник данных (IDA),,,,,,,,,,,,,,,,
dialogue_sKeGu,"Статус судна: @w1... @w1 Уничтожен из-за неисправности в системах двигателя. @w1 \n Текущая ситуация: @w1 . @w1 Разбился на неизвестной планете. @w1 \nPilot status: @w1... @w1 Успешно покинутое судно в аварийной капсуле. @w1 \nЗдоровье пилота: @w1 . @w1 Низкий, но стабильный.@w1\n Integrated Data Assistant (IDA): @w1 . @w1 Rebooted. @p9Добро пожаловать, командир! @w2 Рад видеть тебя живым! @w4 \n\n Нам очень повезло!@w1 Будучи втянутым в варп-вихрь Титана и выйдя живым целым! @w1 \nЯ в настоящее время пытаюсь восстановить связь с флотом операции Феникс. @w3\n\n Это займет несколько минут.@p9 Тем временем:@w1 Я хранил наши датчики и журналы событий с момента нашего побега со станции Аполлон в цвете. Эмпиропедия Journey Book</color> (<color=#00ff11>F1</color>). @w2\n\n Откройте запись «Начало путешествия», чтобы прочитать log.@w2 \n\n Также: обязательно выберите любой элемент, включая <color=#ffffff>detector</color>, из вашего <color=#ffffff>escape pod </color> (<color=#00ff11>F</color>), прежде чем идти куда-либо!",,,,,,,,,,,,,,,,
dialogue_0KioS,"Спасибо за напоминание, ИДА!",,,,,,,,,,,,,,,,
dialogue_e0uS4,Интегрированный помощник данных (IDA),,,,,,,,,,,,,,,,
dialogue_GGKSW,"Командир, для справки: Я хранил наши датчики и журналы событий со станции Аполлон в базе данных. \n\n@w2 Хотите пересмотреть их сейчас?",,,,,,,,,,,,,,,,
dialogue_G80Sm,Играть,,,,,,,,,,,,,,,,
dialogue_iiSSK,Не сейчас,,,,,,,,,,,,,,,,
dialogue_Wimmu,Интегрированный помощник данных (IDA),,,,,,,,,,,,,,,,
dialogue_OSqYe,"Положительно. Я буду сохранять данные, пока ты не будешь готов.",,,,,,,,,,,,,,,,
dialogue_8S4ia,ОК ИДА,,,,,,,,,,,,,,,,
dialogue_qui48,"Я проанализирую это для дальнейшего рассмотрения, коммандер.",,,,,,,,,,,,,,,,
dialogue_KeiGK,Спасибо IDA.,,,,,,,,,,,,,,,,
dialogue_8uuC8,Организация по анализу и визуализации данных (D.A.V.E.),,,,,,,,,,,,,,,,
dialogue_YWWi0,"T минус 22 ч 30 мин @w2 \nJupiter Outpost 31 (Apollon Station) @w2 \nScience Lab \nDr. Greyson, @w2 Dr. Dawson @p9 Доктор Грейсон! @w2 Доктор Грейсон! @w2 Мы только что получили подтверждение! @p9 [D] Протокол Waverider активирован! @w4 \n [G] Отлично! @w2 Ожидание закончилось! @w2 Теперь давайте подготовим DAVE и оборудование к финальной стадии проекта. @w5 Вы сохранили последние данные из постов прослушивания? @w4 \n[D] Конечно, мэм. @w4 DAVE уже обрабатывает параметры и корректировки. @p9 \n[G] Хорошо. @w2 Это будет гигантский скачок для человечества. @w2 DAVE? @w4 \n [DAVE] Я уже начинаю рутину, доктор. @w4 \n [G] Осталось время? @w3 \n [DAVE] Мероприятие состоится в 22 часа 25 минут примерно в 16:00 по местному времени. @w5 < Внутренний обратный отсчет синхронизирован >",,,,,,,,,,,,,,,,
dialogue_amSmC,"Это должно быть что-то, что Дэйв добавил в мой журнал.",,,,,,,,,,,,,,,,
dialogue_aCg1a,Закрыть,,,,,,,,,,,,,,,,
dialogue_KuG6K,"T минус 7 ч 25 мин @w2 \nJupiter Outpost 31 (Apollon Station) \nCrew Quarters \nCommander {PlayerName}, PRIVATE LOG @p9 @p9 [{PlayerName}] Ой, моя голова! @w3 Черт, я опаздываю! @w3 Разве я не поставила этот будильник раньше? @w4.. ah.. damn.. snooze timer .. @p9 @p9 [{PlayerName}] .. ah @w2.. who put that .. here @w2.. and @w2 what the .. Alex .. ? @p9 < INCOMING MESSAGE > \n\n@w2 < SENDER Alex Lamarr > @p9 [servo] У тебя новое сообщение. @w2 @p9 [{PlayerName}] @w2... конечно! @p9 [L] Привет, милая! @w2 Проснись! :D @w2 Я пытался не разбудить тебя, но они уже отправили меня в Титан на финальные проверки. @w4 Сегодня важный день, да? @w2 Мы устроим здесь юбилейную вечеринку. @w4 Comm Шеф де Врис приедет из Гранд и тоже примет участие! @p9 Капитан Беннер сказал мне, что ты должен что-то сделать для парней из Лаборатории А и твой шаттл запланирован на 16:00. @p9 Так что пока вы там, напомните Грейсону и Доусону, что им придется принести солод. @w2 Мы выиграли последний раунд! :D @p9 Не опаздывайте и не забудьте торт! \n\n@w3 CU later @w2 - love. A. @p9 [{PlayerName}] @w2 ..eh? @w2 ..hf to fo somethfhing fo fthe lab..? @p9 < INCOMING MESSAGE > @w2 \n\n< SENDER Dr. Katelyn Greyson > @p9 [servo] У тебя новое задание. @w2 Открытие файла. @p9 [G] Командующий [Имя игрока], надеюсь, вы не забыли, что капитан Беннер любезно позволил мне реквизировать вас для окончательного задания, прежде чем вы отправитесь в Титан. @w8 Пожалуйста, свяжитесь с квартирмейстером для вашего обновленного костюма и оборудования. @w6 Тогда, пожалуйста, спуститесь в Лабораторию A. @w4 Oh и Happy Anniversary to you and Alex! @w3 - Greyson @p9 [{Имя игрока}] Серво! @w2 Пожалуйста, проверьте папку сообщений. @w4 Я совершенно уверен, что не было никаких новых заданий, когда я проверял почтовый ящик, прежде чем мы легли спать! @p9 [servo] Боюсь, что не могу дать ответ. @w5 За указанное время журналы отсутствуют. @p9 [[Имя игрока]] Hmm... @w2 интересно. @w2 Кажется, что все сходят с ума, чем ближе мы подходим к дате отъезда. @w5 Даже станция AIs. @p9 [[Имя игрока]] Серво, пожалуйста, запри кабину после моего отъезда и убедись, что мои вещи загружены на транспортный шаттл. @p9 [servo] Конечно, коммандер. @w2 Прощай и удачи на волне! @p9 [[Имя игрока]] Что...???",,,,,,,,,,,,,,,,
dialogue_diOq4,Логировать личные вещи!? Hmpf...,,,,,,,,,,,,,,,,
dialogue_sbKOp,Закрыть,,,,,,,,,,,,,,,,
dialogue_KuRY0,"T минус 7 ч 15 мин @w2 \nJupiter Outpost 31 (Apollon Station) @w2 \nLab A @w2 \nCommander {PlayerName}, Dr. Greyson, Dr. Dawson @p9 < Lab Access requested. Код BRAVO > @p9 Вот ты где! Почему ты так долго? @p9 [[Имя игрока]] Эй, Док! @w2 Похоже, внутренняя коме опять какие-то проблемы.. @w2. @w2 Я только что получил записку о назначении всего несколько минут назад. @w2 Кто-то должен будет разобраться в этом беспорядке завтра, когда... @p9 [G] Конечно, конечно. @w2 Теперь Давайте начнем с чего-то важного. @w2 Время - это ключ. @p9 Технологическая команда установила новый приемопередатчик, который позволит нам отслеживать космологическое событие, которое происходит только каждые десять лет. @w8 Мы хотим взять этот сигнал и исследовать результаты, чтобы флот мог использовать данные. @w6 Давайте быстро проверим статус. @w3 DAVE? @p9 [DAVE] Обработка запросов, доктор. @p9 < Code Access. BLACK > @p9 < Door opening > @p9 Док! @w1 Решетка волн читается .. @w3 oh, hi {Имя игрока}! @w2 Приходите, чтобы помочь нам? @p9 [Имя игрока] Похоже на то. @w2 Что-то вы, ребята, сломали .. @w2 дайте угадаю .. @w2 может быть .. @w2 торт в секвенсоре снова? @p9 <два человека смеются > @p9 [D] Хорошо. @w1 Встретимся позже в Титане! @p9 <Открытие двери > @p9 < Запрос модуля Lab Access. Code BLACK > @p9 [DAVE] Доктор Грейсон? @w2 Данные были отправлены на ваш терминал. @p9 [G] Спасибо DAVE. @p9 [G] Оказывается, для завершения установки требуется ваше разрешение на доступ. @w4 И пока вы в этом разбираетесь, помогите этим парням, так как вы лучше знаете, как работать с этой системой. @w5 Шеф Кюн в секции двигателя. @p9 [[Имя игрока]] Хорошо, док, не волнуйся. @w2 Мы получим этот приемопередатчик онлайн в кратчайшие сроки.",,,,,,,,,,,,,,,,
dialogue_ufCq8,Вот с чего все это началось.,,,,,,,,,,,,,,,,
dialogue_0q4uW,Закрыть,,,,,,,,,,,,,,,,
